Dataset,Naive Search (ms),Std_dev (ms),Grouped dataset (ms),Std_dev (ms),Smart grouping (ms),Std_dev (ms),Double grouped (ms),Std_dev (ms),Smart doublegroup (ms),Std_dev (ms)
imagenet,1831.2492499999998,909.4341016667389,12.16092,7.546144808417073,8.905432,4.274726050162281,11.585310000000002,4.74982758626879,7.797607999999999,3.7459369139663856
imdb_wiki,917.15555,85.18589832095275,232.1406,32.87572969593231,208.8148,62.24339739892103,118.16539999999999,12.06673643699905,91.7157,12.131807203875185
insta_1m,1497.661,198.33939371441113,139.31808,25.60492365045447,85.52238,14.47217599746495,67.00272,8.591162623859477,50.799459999999996,7.801493374630286
mirflickr,1488.4085000000002,196.00653719391295,90.72026,11.260360306064829,60.62816,5.079821762069956,51.14716,6.03704007626252,33.57202,6.507096615665072
